@relation soyBean

@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute x4 numeric
@attribute x5 numeric
@attribute x6 numeric
@attribute x7 numeric
@attribute x8 numeric
@attribute x9 numeric
@attribute x10 numeric
@attribute x11 numeric
@attribute x12 numeric
@attribute x13 numeric
@attribute x14 numeric
@attribute x15 numeric
@attribute x16 numeric
@attribute x17 numeric
@attribute x18 numeric
@attribute x19 numeric
@attribute x20 numeric
@attribute x21 numeric
@attribute x22 numeric
@attribute x23 numeric
@attribute x24 numeric
@attribute x25 numeric
@attribute x26 numeric
@attribute x27 numeric
@attribute x28 numeric
@attribute x29 numeric
@attribute x30 numeric
@attribute x31 numeric
@attribute x32 numeric
@attribute x33 numeric
@attribute x34 numeric
@attribute x35 numeric
@attribute Class {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15}

@data
1.436066,-0.925209,0.595538,-0.210392,-0.532167,-0.813775,-0.582291,0.373511,-0.906869,-1.340852,1.441498,0.319856,-1.233875,1.255809,1.152642,-0.467341,-0.191571,-0.269275,0.925209,3.868991,1.558425,0.018858,2.472802,1.875919,-0.08319,-0.317674,-0.188656,-0.543207,1.9302,-0.451828,-0.340844,-0.319251,-0.269694,-0.215527,-0.33353,1
0.261287,-0.925209,0.595538,-0.210392,-0.532167,0.190458,-1.515244,2.057476,0.745372,-0.02875,1.441498,0.319856,-1.233875,1.255809,1.152642,-0.467341,-0.191571,-0.269275,0.925209,-0.280814,1.558425,0.018858,2.472802,1.875919,-0.08319,-0.317674,-0.188656,-0.543207,1.9302,-0.451828,-0.340844,-0.319251,-0.269694,-0.215527,-0.33353,1
-0.326102,-0.925209,0.595538,-0.210392,-0.532167,-0.813775,-1.515244,2.057476,0.745372,1.283352,1.441498,0.319856,-1.233875,1.255809,1.152642,-0.467341,-0.191571,-0.269275,0.925209,-0.280814,1.558425,-0.8926,2.472802,1.875919,-0.08319,-0.317674,-0.188656,-0.543207,1.9302,-0.451828,-0.340844,-0.319251,-0.269694,-0.215527,-0.33353,1
-0.326102,-0.925209,0.595538,-0.210392,-0.532167,-0.813775,-1.515244,2.057476,-0.906869,-0.02875,1.441498,0.319856,-1.233875,1.255809,1.152642,-0.467341,-0.191571,-0.269275,0.925209,-0.280814,1.558425,-0.8926,2.472802,1.875919,-0.08319,-0.317674,-0.188656,-0.543207,1.9302,-0.451828,-0.340844,-0.319251,-0.269694,-0.215527,-0.33353,1
1.436066,-0.925209,0.595538,-0.210392,-0.532167,0.190458,-1.515244,0.373511,-0.906869,1.283352,1.441498,0.319856,-1.233875,1.255809,1.152642,-0.467341,-0.191571,-0.269275,0.925209,-0.280814,1.558425,0.018858,2.472802,1.875919,-0.08319,-0.317674,-0.188656,-0.543207,1.9302,-0.451828,-0.340844,-0.319251,-0.269694,-0.215527,-0.33353,1
0.848676,-0.925209,0.595538,-0.210392,-0.532167,1.194691,-1.515244,0.373511,-0.906869,-0.02875,1.441498,0.319856,-1.233875,1.255809,1.152642,-0.467341,-0.191571,-0.269275,0.925209,-0.280814,1.558425,-0.8926,2.472802,1.875919,-0.08319,-0.317674,-0.188656,-0.543207,1.9302,-0.451828,-0.340844,-0.319251,-0.269694,-0.215527,-0.33353,1
0.848676,-0.925209,0.595538,-0.210392,-0.532167,0.190458,-1.515244,0.373511,0.745372,-1.340852,1.441498,0.319856,-1.233875,1.255809,1.152642,-0.467341,-0.191571,-0.269275,0.925209,3.868991,1.558425,0.018858,2.472802,1.875919,-0.08319,-0.317674,-0.188656,-0.543207,1.9302,-0.451828,-0.340844,-0.319251,-0.269694,-0.215527,-0.33353,1
0.261287,-0.925209,0.595538,-0.210392,2.041587,-0.813775,-1.515244,0.373511,-0.906869,1.283352,1.441498,0.319856,-1.233875,1.255809,1.152642,-0.467341,-0.191571,-0.269275,0.925209,-0.280814,1.558425,0.018858,2.472802,1.875919,-0.08319,-0.317674,-0.188656,-0.543207,1.9302,-0.451828,-0.340844,-0.319251,-0.269694,-0.215527,-0.33353,1
1.436066,-0.925209,0.595538,-0.210392,-0.532167,1.194691,-1.515244,0.373511,0.745372,-0.02875,1.441498,0.319856,-1.233875,1.255809,1.152642,-0.467341,-0.191571,-0.269275,0.925209,-0.280814,1.558425,0.018858,2.472802,1.875919,-0.08319,-0.317674,-0.188656,-0.543207,1.9302,-0.451828,-0.340844,-0.319251,-0.269694,-0.215527,-0.33353,1
0.261287,-0.925209,0.595538,-0.210392,-0.532167,0.190458,-1.515244,2.057476,-0.906869,1.283352,1.441498,0.319856,-1.233875,1.255809,1.152642,-0.467341,-0.191571,-0.269275,0.925209,-0.280814,1.558425,0.018858,2.472802,1.875919,-0.08319,-0.317674,-0.188656,-0.543207,1.9302,-0.451828,-0.340844,-0.319251,-0.269694,-0.215527,-0.33353,1
